,Name,Importance
73,dv5_realized_volatility_mean0_nn2_sev_low_abs_nn_m_median,0.00032089024220528437
74,dv5_realized_volatility_mean0_nn2_all_nn_m_p2_median,0.00031844473520347934
75,realized_volatility_mean0_nn16_sev_low_abs_nn_m_mean,0.00030119300587982733
76,dv5_realized_volatility_mean0_nn8_bidask_spread_0_c_mean,0.00029872062729868434
77,ep_liq_5_nn4_sev_high_nn_m_median,0.0002939807961926724
78,dv5_realized_volatility_mean0_nn8_highest_return_c_median,0.0002865220987156895
79,dv5_realized_volatility_mean0_nn8_bidask_spread_1_m_p1_mean,0.0002829601836612643
80,realized_volatility_mean0_nn16_sev_low_abs_nn_m_median,0.0002793311687001916
81,ep_liq_5_nn8_realized_volatility_mean0_c_mean,0.0002754025046734108
82,bidask_spread_1_nn4_high_low_gap_m_p2_mean,0.0002716226532609879
83,dv5_realized_volatility_mean0_nn2_sev_low_abs_nn_m_mean,0.00027149058027535754
84,ep_liq_5_nn2_high_low_gap_m_p2_mean,0.00026212656704768073
85,tvpl_epliq5_nn64_two_m_median,0.0002592249537711489
86,liq_last_5_nn16_high_low_gap_c_median,0.0002566057163484032
87,highest_return_nn64_realized_volatility_mean0_c_median,0.0002488559099812769
88,bidask_spread_1_nn2_high_low_gap_c_median,0.0002475272904746938
89,realized_volatility_mean0_nn8_sev_low_abs_nn_m_mean,0.0002468348427093783
90,bidask_spread_0_nn2_high_low_gap_c_mean,0.00024331152877428574
91,bidask_spread_0_nn2_high_low_gap_m_p1_median,0.00023897570581596562
92,dv2_lowest_return_nn48_lowest_returntwo_c_median,0.00023438696117885615
93,bidask_spread_1_nn2_high_low_gap_c_mean,0.00023283867924610069
94,lowest_return_nn32_lowest_returntwo_c_mean,0.00022727871184108873
95,ep_liq_5_nn8_sev_high_nn_m_median,0.0002236098819185832
96,bidask_spread_1_nn4_high_low_gap_m_p1_mean,0.00022292966109842925
97,highest_return_nn64_all_nn_m_p1_mean,0.00022069612467226786
98,dv2_lowest_return_nn48_sev_high_nn_m_median,0.00021846050444205932
99,ep_liq_5_nn4_high_low_gap_m_p1_mean,0.0002125152644867754
100,dv5_realized_volatility_mean0_nn32_trade.tau_c_mean,0.00020722717078148974
101,dv5_realized_volatility_mean0_nn64_trade.tau_c_mean,0.0002049278491302615
102,realized_volatility_mean0_150,0.00020022981848007734
103,liq_last_1_nn16_high_low_gap_c_median,0.0002001024356895114
104,tvpl_epliq5_nn64_sev_high_abs_nn_m_mean,0.00019964117931687458
105,dv2_lowest_return_nn48_two_m_median,0.00019727034071069912
106,dv5_realized_volatility_mean0_nn8_trade.tau_c_mean,0.00018945929549584112
107,tvpl_epliq5_nn8_realized_volatility_mean0_c_mean,0.00018748066955855686
108,bidask_spread_0_nn2_high_low_gap_m_p2_mean,0.00018479529003002424
109,dv5_realized_volatility_mean0_nn16_lowest_return_c_mean,0.00018364415094331593
110,dv5_realized_volatility_mean0_nn16_trade.tau_c_median,0.0001808077200647788
111,highest_return_nn16_realized_volatility_mean0_c_median,0.00018071605874844153
112,bidask_spread_0_nn2_high_low_gap_m_p2_median,0.0001796895571822551
113,lowest_return_150,0.0001787489012867918
114,tvpl5_nn64_ep_liq_5_c_mean,0.0001753495965401657
115,dv5_realized_volatility_mean0_nn16_trade.tau_c_mean,0.00017463582374691746
116,bidask_spread_0_nn64_sev_low_abs_nn_m_median,0.00017109042893110815
117,liq_last_5_nn48_high_low_gap_c_median,0.00016994323543482185
118,dv5_realized_volatility_mean0_nn8_bidask_spread_0_c_median,0.00016909658293601972
119,high_low_gap_nn64_two_m_median,0.00016791614265796893
120,ep_liq_5_nn8_two_m_mean,0.00016658149885890255
121,dv5_realized_volatility_mean0_nn32_highest_return_c_mean,0.00016575003456108394
122,highest_return_nn64_sev_high_abs_nn_m_median,0.0001657321645688327
123,dv2_lowest_return_nn48_sev_low_nn_m_median,0.0001655008451709806
124,bidask_spread_1_450,0.0001654385276870734
125,dv2_lowest_return_nn8_high_low_gap_c_mean,0.0001653323223679849
126,bidask_spread_0_nn2_high_low_gap_m_p1_mean,0.00016529386729268128
127,ep_liq_5_nn16_bidask_spread_1_c_mean,0.00016418248651708467
128,ep_liq_5_nn32_bidask_spread_1_c_median,0.00016379915769579095
129,lowest_return_nn64_highest_return_c_median,0.000162016559421095
130,ep_liq_5_nn4_high_low_gap_m_p2_mean,0.00016098500178685245
131,tvpl_epliq5_nn16_bidask_spread_1_m_p2_median,0.0001607620792460507
132,liq_last_1_300,0.00015964324792230893
133,BB_width_w40,0.00015891698042024588
134,bidask_spread_1_nn2_highest_return_c_median,0.00015842251410773576
135,lowest_return_nn16_liq_last_5_c_mean,0.00015783096255336462
136,tvpl_epliq5_nn64_sev_low_nn_m_mean,0.00015550613169528768
137,liq_last_5_nn2_high_low_gap_c_mean,0.00015514250066741734
138,dv3_highest_return_nn8_tvpl_c_median,0.00015340574352586424
139,bidask_spread_0_450,0.00015236233699598297
140,dv5_realized_volatility_mean0_nn4_realized_volatility_mean0_c_mean,0.0001518109469665232
141,bidask_spread_0_nn4_BB_width_w10_c_median,0.00015141094032695596
142,dv5_realized_volatility_mean0_nn64_sev_low_nn_m_mean,0.0001504984262233014
143,high_low_gap_150,0.00015041129765969985
144,bidask_spread_0_nn2_high_low_gap_c_median,0.0001500001645175817
145,dv5_realized_volatility_mean0_nn16_high_low_gap_m_p1_mean,0.00014931100345937827
146,ep_liq_5_nn2_all_nn_m_p2_median,0.00014909643270544026
147,dv5_realized_volatility_mean0_nn32_trade.tau_c_median,0.00014867271126561612
148,dv3_highest_return_nn8_highest_return_c_median,0.00014859936435115492
149,dv5_realized_volatility_mean0_nn16_highest_return_c_mean,0.00014829973069271313
150,liq_last_5_nn8_high_low_gap_c_median,0.00014825498736678423
151,dv4_realized_volatility_30s_nn64_liq_last_5_c_median,0.00014778043786287592
152,highest_return_nn64_realized_volatility_mean0_c_mean,0.0001474479989839203
153,realized_volatility_mean0_nn2_lowest_return_c_median,0.00014726190543264098
154,dv2_lowest_return_nn8_trade_vol_c_mean,0.00014574081689126863
155,dv2_lowest_return_nn32_lowest_returntwo_c_median,0.00014483458112854095
156,realized_volatility_mean0_nn8_tvpl1_c_mean,0.00014471147094708228
157,liq_last_1_nn32_realized_volatility_mean0_c_median,0.00014454258360798816
158,dv3_highest_return_nn16_liq_last_1_c_mean,0.00014451183677641235
159,dv5_realized_volatility_mean0_nn16_trade_vol_c_median,0.00014410841443606147
160,liq_last_1_nn4_bidask_spread_1_c_median,0.0001438901935471094
161,liq_last_1_nn48_sev_low_abs_nn_m_mean,0.00014379931703157616
162,ep_liq_5_nn8_bidask_spread_1_c_median,0.00014319843450276548
163,ep_liq_5_nn8_high_low_gap_c_median,0.00014312784493209686
164,realized_volatility_mean0_nn4_sev_low_abs_nn_m_mean,0.00014307516569092156
165,ep_liq_5_nn48_sev_low_abs_nn_m_mean,0.00014302949820538317
166,lowest_return_nn32_realized_volatility_mean0_c_mean,0.00014246397060022599
167,dv4_realized_volatility_30s_nn4_trade_vol_c_mean,0.0001416861006690805
168,highest_return_nn64_sev_high_nn_m_median,0.000141221174303483
169,tvpl_nn32_two_m_mean,0.00014064539242379017
170,highest_return_nn8_sev_high_abs_nn_m_median,0.00014025752162631844
171,realized_volatility_30s_nn64_liq_last_5_c_median,0.00014024817376904642
172,lowest_return_nn32_liq_last_5_m_p2_mean,0.00013944604137326513
173,BB_width_w10_nn16_bidask_spread_1_c_median,0.00013936647601142538
174,tvpl_nn8_bidask_spread_1_c_median,0.00013921899723149596
175,liq_last_5_nn32_realized_volatility_mean0_c_median,0.00013812795126899298
176,highest_return_nn64_two_m_median,0.0001380708164121722
177,ep_liq_5_nn4_liq_last_1_c_median,0.0001374027363768086
178,dv5_realized_volatility_mean0_nn2_sev_high_nn_m_median,0.0001372055474720194
179,dv5_realized_volatility_mean0_nn32_high_low_gap_c_mean,0.00013631361774687112
180,lowest_return_nn32_two_m_mean,0.00013627196533717983
181,tvpl_nn64_realized_volatility_mean0_c_median,0.0001358234930089706
182,dv4_realized_volatility_30s_nn8_realized_volatility_mean0_c_mean,0.00013568922613442727
183,ep_liq_5_nn4_lowest_returntwo_c_median,0.00013567134000248208
184,ep_liq_5_nn4_trade_vol_c_mean,0.0001353133033029069
185,dv3_highest_return_nn8_sev_low_nn_m_median,0.00013517307129199392
186,liq_last_1_nn64_sev_low_abs_nn_m_median,0.00013517212979328072
187,ep_liq_5_nn4_high_low_gap_m_p2_median,0.0001341873038413779
188,dv4_realized_volatility_30s_nn4_lowest_return_c_median,0.00013410858338369332
189,lowest_return_nn16_sev_high_abs_nn_m_mean,0.00013339848026133972
190,dv3_highest_return_nn64_sev_low_nn_m_median,0.00013309665751230226
191,realized_volatility_30s_nn64_liq_last_1_c_median,0.0001329017444982085
192,dv2_lowest_return_nn16_ep_liq_5_c_median,0.00013278774765153705
193,ep_liq_5_nn4_realized_volatility_mean0_m_p2_median,0.00013241893678324107
194,highest_return_nn4_lowest_return_c_median,0.00013157022601335778
195,lowest_return_nn48_liq_last_5_c_mean,0.0001315235425220918
196,dv3_highest_return_nn64_sev_high_abs_nn_m_median,0.00013133693733287258
197,tvpl5_nn64_sev_high_abs_nn_m_median,0.00013122952164245044
198,dv2_lowest_return_nn64_liq_last_5_c_median,0.00013030797165114284
199,dv2_lowest_return_nn4_trade.tau_c_mean,0.00013000993594024338
200,bidask_spread_0_nn16_trade.tau_c_mean,0.00012987685492302022
201,trade_vol_nn16_sev_high_nn_m_mean,0.00012984803357374248
202,highest_return_nn32_bidask_spread_1_c_median,0.00012954760798455253
203,bidask_spread_1_nn16_tvpl1_c_mean,0.00012947966211419742
204,highest_return_nn16_bidask_spread_1_c_median,0.00012947695307712973
205,bidask_spread_1_nn32_sev_low_abs_nn_m_median,0.00012942687686417367
206,highest_return_150,0.00012867087478064807
207,liq_last_1_nn32_ep_liq_5_m_p2_median,0.0001279471819633806
208,liq_last_1_nn48_high_low_gap_c_mean,0.0001275359241271807
209,lowest_return_nn4_tvpl_epliq5_c_median,0.00012751222551529294
210,bidask_spread_0_nn64_tvpl5_c_median,0.0001274709074044437
211,dv5_realized_volatility_mean0_nn16_high_low_gap_m_p2_mean,0.00012738749054781007
212,lowest_return_nn8_bidask_spread_0_c_median,0.00012735483741414404
213,bidask_spread_1_nn8_sev_low_abs_nn_m_median,0.00012727653796625404
214,dv2_lowest_return_nn32_high_low_gap_c_median,0.00012703763774759734
215,liq_last_5_nn16_ep_liq_5_c_median,0.0001267575895631349
216,tvpl_epliq5_nn4_sev_high_nn_m_median,0.0001267178970929518
217,realized_volatility_30s_nn64_realized_volatility_mean0_c_median,0.00012663989274901418
218,liq_last_1_nn16_bidask_spread_1_c_mean,0.00012650619321998618
219,dv2_lowest_return_nn32_bidask_spread_1_m_p2_median,0.00012633798987965158
220,dv4_realized_volatility_30s_nn32_bidask_spread_1_c_median,0.00012595909401411112
221,ep_liq_5_nn4_lowest_returntwo_c_mean,0.00012572378650445485
222,dv3_highest_return_nn8_tvpl_c_mean,0.00012562037439104674
223,dv3_highest_return_nn16_highest_return_c_mean,0.00012559826227260602
224,num_trades_nn32_two_m_median,0.00012552855589942932
225,dv4_realized_volatility_30s_nn16_liq_last_1_c_mean,0.00012550425176378936
226,highest_return_nn32_bidask_spread_0_c_median,0.00012543961664521075
227,dv5_realized_volatility_mean0_nn16_lowest_return_m_p1_median,0.00012515020092258137
228,tvpl5_nn8_bidask_spread_0_c_mean,0.00012495525639839354
229,tvpl_epliq5_nn8_realized_volatility_mean0_c_median,0.00012488168741769565
230,liq_last_5_nn16_highest_return_c_mean,0.0001245329752536764
231,dv3_highest_return_nn64_two_m_median,0.00012423953741017019
232,bidask_spread_0_nn32_sev_low_abs_nn_m_median,0.0001238255466379922
233,liq_last_5_nn16_trade_vol_c_median,0.00012364268609528408
234,bidask_spread_1_nn8_highest_return_c_mean,0.00012358232091008733
235,bidask_spread_1_nn48_sev_low_abs_nn_m_median,0.00012347325256517686
236,realized_volatility_mean0_nn8_highest_return_c_mean,0.00012337899501524687
237,dv5_realized_volatility_mean0_nn16_tvpl_c_mean,0.0001233254745054177
238,BB_width_w20_nn4_bidask_spread_1_c_mean,0.00012327007651381954
239,dv5_realized_volatility_mean0_nn8_trade.tau_m_p2_mean,0.00012325851560433923
240,ep_liq_5_nn16_high_low_gap_c_median,0.00012323585194280064
241,liq_last_5_nn4_trade.tau_c_median,0.0001230389877116048
242,bidask_spread_0_nn48_sev_low_abs_nn_m_mean,0.00012295688711177853
243,num_trades_nn16_liq_last_5_c_median,0.00012286234502958406
244,highest_return_nn16_sev_low_nn_m_median,0.00012270930067108317
245,highest_return_nn64_sev_high_abs_nn_m_mean,0.0001226347385230786
246,highest_return_nn4_BB_width_w10_c_mean,0.00012254965433358548
247,liq_last_5_nn16_trade.tau_c_mean,0.0001225267829964651
248,tvpl5_nn8_two_m_median,0.00012203203336740525
249,liq_last_1_nn8_high_low_gap_c_median,0.00012195073417835046
250,dv5_realized_volatility_mean0_nn8_ep_liq_5_c_mean,0.00012184688049281426
251,tvpl5_nn4_tvpl_epliq5_c_mean,0.00012183363087564838
252,trade_vol_nn16_bidask_spread_1_c_median,0.00012167063613015721
253,bidask_spread_0_nn4_highest_return_c_median,0.00012166713729095557
254,tvpl_nn16_bidask_spread_1_c_median,0.00012134178182989987
255,realized_volatility_mean0_nn2_lowest_return_c_mean,0.0001210736747300903
256,liq_last_5_nn32_sev_low_abs_nn_m_median,0.00012093517985664411
257,bidask_spread_1_nn16_BB_width_w20_c_mean,0.00012086733169480859
258,lowest_return_nn16_tvpl_c_median,0.00012076143170225617
259,dv3_highest_return_nn8_BB_width_w10_c_median,0.00012073543335617386
260,highest_return_nn48_liq_last_1_c_median,0.00012044104530828175
